zip,lat,lon,min_lon,min_lat,max_lon,max_lat
14141,42.523637460401225,-78.71088182568397,-78.822488,42.443619,-78.559775,42.609515
14143,42.97543806553686,-78.0758719273765,-78.12358,42.936696,-78.025994,43.018089
14145,42.73153713633445,-78.43206545559165,-78.499302,42.672046,-78.379222,42.792051
14150,42.997966172428164,-78.87815600383286,-78.941464,42.956248,-78.822177,43.031078
14166,42.45097050024403,-79.4160542973665,-79.420191,42.447275,-79.411497,42.454167
14167,42.743263741958486,-78.32630195955255,-78.402846,42.695244,-78.248556,42.798552
14168,42.51187630078727,-78.98740709744597,-78.993082,42.500511,-78.982646,42.521743
14169,42.76451350986453,-78.52934970783966,-78.533256,42.760591,-78.524238,42.768422
14170,42.701168361318956,-78.67287941061903,-78.718123,42.661131,-78.61376,42.741255
14171,42.42488758380007,-78.64287827855809,-78.735568,42.333567,-78.553934,42.495561
14172,43.28462645183485,-78.81815728537063,-78.90085,43.219551,-78.754355,43.337055
14173,42.525944444225175,-78.47311194306657,-78.478596,42.515912,-78.464054,42.534431
14174,43.24601759980706,-79.00667141862704,-79.075855,43.192742,-78.938676,43.291847
14201,42.89704691907073,-78.88766924787869,-78.905183,42.884123,-78.87302,42.906542
14202,42.88769197057663,-78.88567611401784,-78.90534,42.874406,-78.868971,42.902227
14203,42.86102596914401,-78.86697916721681,-78.894657,42.832237,-78.843904,42.902243
14204,42.882022502723665,-78.86137714475127,-78.872812,42.855817,-78.851641,42.903933
14206,42.880809953228834,-78.81015584925133,-78.853951,42.86372,-78.774161,42.897788
14207,42.95199406512026,-78.89828725750091,-78.921359,42.927969,-78.872846,42.97486
14208,42.91461522869377,-78.85145893172582,-78.859741,42.903735,-78.843467,42.928554
14209,42.91366966625841,-78.86620854325052,-78.874914,42.902157,-78.858015,42.930023
14210,42.864069417931226,-78.82810765340925,-78.859589,42.843305,-78.792853,42.881845
14211,42.90813097444557,-78.81883163826828,-78.853977,42.893154,-78.784075,42.922401
14212,42.894403756923,-78.81971286537238,-78.85397,42.884961,-78.784198,42.903535
14213,42.91765378397991,-78.89098301665675,-78.90283,42.900166,-78.876984,42.936574
14214,42.93936898935965,-78.84094265689778,-78.867776,42.921088,-78.813759,42.959457
14215,42.934544653394056,-78.8102226143592,-78.839356,42.914463,-78.783248,42.961416
14216,42.948535726693486,-78.86197646332779,-78.889654,42.929571,-78.83479,42.958718
14217,42.97192701753613,-78.87675877604374,-78.909873,42.958567,-78.853032,42.994144
14218,42.81929302138302,-78.82905125332306,-78.874563,42.796799,-78.76218,42.845186
14219,42.78897185821501,-78.8283849177164,-78.869143,42.766727,-78.789933,42.810594
14220,42.84572326538502,-78.82265083972682,-78.850651,42.828565,-78.792991,42.863333
14221,42.97916573218663,-78.7215596853378,-78.792496,42.944571,-78.652222,43.027091
14222,42.920027183469564,-78.8771078798922,-78.888821,42.902259,-78.865877,42.93732
14223,42.9734589139833,-78.84610650481913,-78.873294,42.957313,-78.822967,42.991142
14224,42.8376723498725,-78.74771231915835,-78.800245,42.799684,-78.69683,42.874774
14225,42.92876917234867,-78.75200366259274,-78.79963,42.90054,-78.696923,42.951381
14226,42.97077759720691,-78.79840767558841,-78.82384,42.948353,-78.766175,43.003643
14227,42.883994250571476,-78.74666827582656,-78.79102,42.863525,-78.70122,42.906996
14228,43.04212661385742,-78.77985023123728,-78.832332,42.993552,-78.708337,43.08622
14260,43.00168233202581,-78.79063751915605,-78.796483,42.998027,-78.78538,43.005355
14261,43.00184888399148,-78.78470725512682,-78.802568,42.990824,-78.760823,43.012791
14301,43.096987637698355,-79.03730849793891,-79.063559,43.086406,-79.005206,43.109564
14302,43.09389553751234,-79.0491927452805,-79.050522,43.093103,-79.047368,43.09478
14303,43.0842377979964,-79.0391265566259,-79.075367,43.072562,-79.002212,43.096026
14304,43.101959681558256,-78.95278400453152,-79.015196,43.057038,-78.883252,43.162319
14305,43.11991468139069,-79.02266618359656,-79.069556,43.094471,-78.972961,43.141154
14411,43.234516347673626,-78.21353072390764,-78.325682,43.131341,-78.075663,43.339097
14413,43.22289081769229,-76.97064866014304,-76.98195,43.211117,-76.963344,43.236199
14414,42.893581822607565,-77.73505640415621,-77.850296,42.84824,-77.644495,42.948896
14415,42.755893679166405,-77.01650148089371,-77.031302,42.744724,-76.992951,42.764079
14416,43.080041598606165,-77.9784967974518,-78.120802,43.013409,-77.905655,43.148759
14418,42.60714648906876,-77.21684868110354,-77.31263,42.540343,-77.140147,42.669083
14420,43.213804234176784,-77.9330359497789,-78.006715,43.133679,-77.834568,43.28974
14422,43.083534717910986,-78.06706939087154,-78.133378,43.010469,-78.014353,43.149961
14423,42.94380599883101,-77.82790507169825,-77.934877,42.886813,-77.717828,42.988463
14424,42.846484015562474,-77.31042823807677,-77.477552,42.715678,-77.141564,42.944346
14425,42.98960935969194,-77.33734411415286,-77.371148,42.944085,-77.284004,43.034712
14427,42.61828651619981,-78.05444531723825,-78.134005,42.564858,-77.970966,42.688916
14428,43.080249789829566,-77.85963948401083,-77.93942,42.997597,-77.700477,43.145565
14432,42.956911962349174,-77.1433455196187,-77.210526,42.885964,-77.072604,43.039842
14433,43.07934815850716,-76.87781149747853,-76.954058,42.975953,-76.792436,43.173498
14435,42.71494492231842,-77.66721282248788,-77.731715,42.657654,-77.600514,42.771329
14437,42.57066882612718,-77.73433608624762,-77.84085,42.463385,-77.613315,42.684293
14441,42.68603681418177,-76.95743977283264,-76.963061,42.677779,-76.949295,42.699689
14445,43.11301960950287,-77.4898025076195,-77.514225,43.098792,-77.471196,43.12375
14450,43.092081867848506,-77.4162393416791,-77.479759,43.034512,-77.359882,43.167119
14453,43.01605570257862,-77.47357504795369,-77.485032,43.009585,-77.464887,43.020413
14454,42.79729652939443,-77.76880325442787,-77.846558,42.70945,-77.706568,42.866141
14456,42.84580124162155,-77.00014493153301,-77.11167,42.754047,-76.857431,42.95377
14462,42.686510879597776,-77.75111453981748,-77.794384,42.655004,-77.717369,42.717169
14463,42.79543418023921,-77.06889156726025,-77.079054,42.78616,-77.058211,42.805697
14464,43.32733373949701,-77.93744084185273,-78.016253,43.277294,-77.855362,43.370678
14466,42.777753039332644,-77.5841790638986,-77.649709,42.737165,-77.527816,42.814018
14467,43.04118727209957,-77.6099286933586,-77.657872,43.017563,-77.555841,43.068707
14468,43.294388431236364,-77.80383682551019,-77.93639,43.230234,-77.694095,43.354935
14469,42.87773619419458,-77.46732403677548,-77.567615,42.797533,-77.370237,42.943659
14470,43.21098877458665,-78.05458219677776,-78.151381,43.131349,-77.965578,43.301926
14471,42.75307015978524,-77.49423758249249,-77.539342,42.666035,-77.438589,42.826782
14472,42.96588799195843,-77.58174896053056,-77.713793,42.90179,-77.482517,43.026943
14475,42.93682914689411,-77.4978842699544,-77.518274,42.92753,-77.478035,42.943563
14476,43.32942631339381,-78.04217497197553,-78.095673,43.286477,-77.980404,43.374305
14477,43.33350874442018,-78.13409828499584,-78.197669,43.281261,-78.075753,43.375732
14478,42.580086258571036,-77.12788856432707,-77.157798,42.500362,-77.087522,42.642391
14479,43.23770342335827,-78.31000959743244,-78.33827,43.228747,-78.276453,43.248575
14480,42.83820933734508,-77.70744200870845,-77.716087,42.818884,-77.690186,42.855871
14481,42.771734505757195,-77.91640662042859,-77.955647,42.703455,-77.852765,42.810902
14482,42.97454528390974,-77.97018524120575,-78.081112,42.873009,-77.874439,43.045161
14485,42.88015479971139,-77.60134778317129,-77.672044,42.828886,-77.53607,42.944164
14486,42.89291544107553,-77.92295719481244,-77.95553,42.863357,-77.880609,42.912802
14487,42.81174587250226,-77.63878780148173,-77.716554,42.763545,-77.51465,42.865829
14489,43.09004749781661,-76.99237461526316,-77.079792,42.969591,-76.885613,43.182515
14502,43.09532743665358,-77.33597283327089,-77.388484,43.03456,-77.257329,43.188065
14504,42.96843173845342,-77.23269772834514,-77.246156,42.959355,-77.216085,42.977996
14505,43.15844226203471,-77.17503585477903,-77.248915,43.10269,-77.098114,43.205976
14506,43.00122680936875,-77.50512849244868,-77.524925,42.987405,-77.484188,43.014229
14507,42.69638516100056,-77.27372303542147,-77.360342,42.630627,-77.154027,42.738977
14510,42.69480661360215,-77.87171803212718,-78.015381,42.606605,-77.752791,42.81764
14511,42.9960255037322,-77.87764355243411,-77.909632,42.987862,-77.821422,43.007298
14512,42.644117636792274,-77.39295504319472,-77.514802,42.538601,-77.258185,42.759103
14513,43.07196860349703,-77.09608937431935,-77.161909,42.988096,-77.033222,43.176433
14514,43.08586056359903,-77.8031016115007,-77.820241,43.041848,-77.777504,43.128512
14515,43.2528372977803,-77.73164218832714,-77.733633,43.251693,-77.729736,43.253609
14516,43.19856795701756,-76.91152418766191,-76.98722,43.150235,-76.827828,43.252326
14517,42.592186730821176,-77.89708423289589,-77.996877,42.548066,-77.766752,42.637507
14519,43.23182764132556,-77.31390432533709,-77.387307,43.165942,-77.241878,43.281435
14521,42.67642420892364,-76.80874289191809,-76.90762,42.627567,-76.697931,42.731779
14522,43.05908782471496,-77.22152666882705,-77.316515,42.99701,-77.135918,43.127374
14525,42.87239266334214,-78.01472530416072,-78.119841,42.800477,-77.91677,42.957862
14526,43.151242765114766,-77.44806699233656,-77.494531,43.108951,-77.400441,43.183237
14527,42.66761875844608,-77.06472971007072,-77.225109,42.513055,-76.909718,42.764193
14529,42.537548820643146,-77.64414327278827,-77.661315,42.531192,-77.622793,42.546375
14530,42.73442933976186,-78.00275475801892,-78.084472,42.648689,-77.918501,42.809685
14532,42.964606433890175,-77.0260316472115,-77.114345,42.909083,-76.910721,43.012863
14533,42.84628513483634,-77.88468819487578,-77.962568,42.791717,-77.819221,42.903933
14534,43.05635919943341,-77.52083301723012,-77.593915,43.008492,-77.452341,43.110817
14536,42.53962299553088,-78.08358495889738,-78.145392,42.497378,-78.028005,42.59187
14537,43.03531728885904,-77.1559917791344,-77.17101,43.028268,-77.142558,43.039867
14539,42.834075106650275,-77.87528135783936,-77.882001,42.830059,-77.868855,42.837221
14541,42.75706426376981,-76.84408508394638,-76.930443,42.698886,-76.749263,42.816792
14542,43.15310561125827,-76.87584211564216,-76.878363,43.151217,-76.873623,43.155527
14543,42.987776749495666,-77.67749516055356,-77.760736,42.940161,-77.595222,43.047876
14544,42.75564303507531,-77.23955481969456,-77.32879,42.70918,-77.14769,42.809425
14545,42.6616300226856,-77.71056765055883,-77.719411,42.649775,-77.697346,42.672494
14546,43.02959329651038,-77.773750020876,-77.865993,42.973842,-77.684655,43.094701
